month,channel,gross_revenue,net_revenue,recognized_revenue,ad_spend,orders
2025-01,Search,145000,132500,127500,18200,214
2025-01,Social,118000,103600,96800,14300,176
2025-01,Affiliate,60200,54800,51200,6200,89
2025-02,Search,149800,137000,132100,18600,221
2025-02,Social,122400,107300,100200,14800,181
2025-02,Affiliate,62800,57100,53600,6400,92
2025-03,Search,155200,141600,136900,19400,228
2025-03,Social,117300,101900,96200,15500,174
2025-03,Affiliate,57100,51900,48600,6550,85
2025-04,Search,164300,149200,145500,20100,241
2025-04,Social,129800,113700,107600,16100,189
2025-04,Affiliate,66100,60700,56400,6720,94
