month,carrier,region,shipments_count,on_time_delivery_rate,avg_transit_days,total_shipping_cost,avg_cost_per_shipment,damage_claims
2025-01,SF Express,East,14200,0.96,1.8,184600,13.0,28
2025-01,SF Express,North,11500,0.95,2.2,161000,14.0,24
2025-01,SF Express,South,9800,0.94,2.5,147000,15.0,32
2025-01,SF Express,West,7800,0.92,3.0,124800,16.0,22
2025-01,JT Express,East,8200,0.91,2.8,90200,11.0,38
2025-01,JT Express,North,6800,0.89,3.2,81600,12.0,35
2025-01,JT Express,South,5900,0.88,3.5,76700,13.0,42
2025-01,JT Express,West,4200,0.85,4.0,58800,14.0,30
2025-02,SF Express,East,14800,0.96,1.8,192400,13.0,30
2025-02,SF Express,North,12000,0.95,2.2,168000,14.0,26
2025-02,SF Express,South,10200,0.94,2.5,153000,15.0,34
2025-02,SF Express,West,8200,0.93,3.0,131200,16.0,24
2025-02,JT Express,East,8600,0.91,2.8,94600,11.0,40
2025-02,JT Express,North,7200,0.90,3.2,86400,12.0,38
2025-02,JT Express,South,6200,0.88,3.5,80600,13.0,44
2025-02,JT Express,West,4500,0.86,4.0,63000,14.0,32
2025-03,SF Express,East,15500,0.97,1.7,201500,13.0,32
2025-03,SF Express,North,12600,0.96,2.1,176400,14.0,28
2025-03,SF Express,South,10800,0.95,2.4,162000,15.0,36
2025-03,SF Express,West,8600,0.93,2.9,137600,16.0,26
2025-03,JT Express,East,9100,0.92,2.7,100100,11.0,42
2025-03,JT Express,North,7600,0.90,3.1,91200,12.0,40
2025-03,JT Express,South,6500,0.89,3.4,84500,13.0,46
2025-03,JT Express,West,4800,0.86,3.9,67200,14.0,34
2025-04,SF Express,East,16200,0.97,1.7,210600,13.0,34
2025-04,SF Express,North,13200,0.96,2.1,184800,14.0,30
2025-04,SF Express,South,11200,0.95,2.4,168000,15.0,38
2025-04,SF Express,West,9000,0.94,2.9,144000,16.0,28
2025-04,JT Express,East,9500,0.92,2.7,104500,11.0,44
2025-04,JT Express,North,8000,0.90,3.1,96000,12.0,42
2025-04,JT Express,South,6800,0.89,3.4,88400,13.0,48
2025-04,JT Express,West,5100,0.87,3.9,71400,14.0,36
2025-05,SF Express,East,16900,0.97,1.7,219700,13.0,36
2025-05,SF Express,North,13800,0.96,2.1,193200,14.0,32
2025-05,SF Express,South,11700,0.95,2.4,175500,15.0,40
2025-05,SF Express,West,9400,0.94,2.9,150400,16.0,30
2025-05,JT Express,East,9900,0.92,2.7,108900,11.0,46
2025-05,JT Express,North,8400,0.91,3.1,100800,12.0,44
2025-05,JT Express,South,7200,0.89,3.4,93600,13.0,50
2025-05,JT Express,West,5400,0.87,3.9,75600,14.0,38
2025-06,SF Express,East,17600,0.97,1.7,228800,13.0,38
2025-06,SF Express,North,14400,0.96,2.1,201600,14.0,34
2025-06,SF Express,South,12200,0.95,2.4,183000,15.0,42
2025-06,SF Express,West,9800,0.94,2.9,156800,16.0,32
2025-06,JT Express,East,10300,0.93,2.7,113300,11.0,48
2025-06,JT Express,North,8800,0.91,3.1,105600,12.0,46
2025-06,JT Express,South,7600,0.90,3.4,98800,13.0,52
2025-06,JT Express,West,5700,0.87,3.9,79800,14.0,40
